Score,Accuracy,Precision,Recall,F1 Score,max_f1score
-1.027304702,0.493197279,0.486725664,0.376712329,0.424710425,0
-0.917721519,0.521452145,0.534759358,0.632911392,0.579710145,0.424710425
-1.007346236,0.498220641,0.538461538,0.049295775,0.090322581,0.579710145
-1.1215071,0.473846154,0.534883721,0.259887006,0.349809886,0.579710145
-1.058270677,0.48630137,0.518518519,0.184210526,0.27184466,0.579710145
-1.089990421,0.477508651,0.485148515,0.675862069,0.564841499,0.579710145
-0.994797904,0.501529052,0.484210526,0.2875,0.360784314,0.579710145
-1.192198582,0.451957295,0.461077844,0.546099291,0.5,0.579710145
-1.160972785,0.459807074,0.409836066,0.159235669,0.229357798,0.579710145
-1.132754011,0.471760797,0.441624365,0.639705882,0.522522523,0.579710145
-0.982980892,0.510638298,0.460606061,0.608,0.524137931,0.579710145
-0.825313118,0.544871795,0.536585366,0.297297297,0.382608696,0.579710145
-0.835851299,0.546925566,0.484210526,0.335766423,0.396551724,0.579710145
-1.249892247,0.44137931,0.43438914,0.721804511,0.542372881,0.579710145
-0.957723577,0.511627907,0.531914894,0.555555556,0.543478261,0.579710145
-0.961641431,0.509933775,0.49790795,0.80952381,0.616580311,0.579710145
-1.028713009,0.493197279,0.481481481,0.545454545,0.51147541,0.616580311
-0.993288591,0.501683502,0.5,0.331081081,0.398373984,0.616580311
-0.995179893,0.501639344,0.464285714,0.175675676,0.254901961,0.616580311
-0.921206555,0.520833333,0.553719008,0.443708609,0.492647059,0.616580311
-0.841670714,0.544303797,0.489361702,0.323943662,0.389830508,0.616580311
-0.835696624,0.542553191,0.542735043,0.852348993,0.663185379,0.616580311
-1.19360687,0.457044674,0.522727273,0.14375,0.225490196,0.663185379
-0.902935421,0.524475524,0.519607843,0.378571429,0.438016529,0.663185379
-0.956945286,0.51590106,0.470238095,0.622047244,0.53559322,0.663185379
-1.113111888,0.483660131,0.420454545,0.569230769,0.483660131,0.663185379
-1.040816327,0.49,0.472222222,0.346938776,0.4,0.663185379
-1.075949367,0.481707317,0.47761194,0.810126582,0.600938967,0.663185379
-0.910537119,0.522875817,0.507575758,0.452702703,0.478571429,0.663185379
-0.884940701,0.528813559,0.523364486,0.751677852,0.61707989,0.663185379
-0.995995581,0.501694915,0.486631016,0.64084507,0.553191489,0.663185379
-1.100301221,0.47826087,0.437956204,0.472440945,0.454545455,0.663185379
-1.025143325,0.495207668,0.550724638,0.23030303,0.324786325,0.663185379
-0.86497105,0.533762058,0.561797753,0.320512821,0.408163265,0.663185379
-0.880293619,0.53015873,0.551724138,0.207792208,0.301886792,0.663185379
-1.097902098,0.476666667,0.5,0.25477707,0.337552743,0.663185379
-1.040595611,0.490974729,0.463414634,0.431818182,0.447058824,0.663185379
-0.748337246,0.562937063,0.602409639,0.352112676,0.444444444,0.663185379
-0.941930618,0.514563107,0.512820513,0.392156863,0.444444444,0.663185379
-0.921897031,0.519607843,0.509009009,0.748344371,0.605898123,0.663185379
-0.795555556,0.551155116,0.534653465,0.72,0.613636364,0.663185379
-1.131817752,0.467353952,0.459119497,0.514084507,0.485049834,0.663185379
-1.139568117,0.465454545,0.462427746,0.597014925,0.521172638,0.663185379
-0.916577054,0.520900322,0.524271845,0.350649351,0.420233463,0.663185379
-1.020547945,0.494915254,0.5,0.281879195,0.360515021,0.663185379
-0.856369202,0.537671233,0.513157895,0.284671533,0.366197183,0.663185379
-0.992260062,0.503472222,0.470588235,0.411764706,0.439215686,0.663185379
-1.181842917,0.454545455,0.447761194,0.405405405,0.425531915,0.663185379
-0.903496218,0.525,0.502857143,0.656716418,0.569579288,0.663185379
-1.02826925,0.494736842,0.478632479,0.835820896,0.608695652,0.663185379
-1.165483871,0.46350365,0.444444444,0.741935484,0.555891239,0.663185379
-0.975085643,0.513245033,0.648648649,0.284023669,0.395061728,0.663185379
-0.847166264,0.538461538,0.520618557,0.691780822,0.594117647,0.663185379
-1.056993122,0.49044586,0.41,0.288732394,0.338842975,0.663185379
-1.187735624,0.462328767,0.548780488,0.272727273,0.36437247,0.663185379
-1.064035263,0.484177215,0.47826087,0.136645963,0.212560386,0.663185379
-1.047697489,0.489425982,0.464705882,0.503184713,0.483180428,0.663185379
-0.91978882,0.520408163,0.523809524,0.728476821,0.609418283,0.663185379
-0.926836582,0.519607843,0.490909091,0.372413793,0.423529412,0.663185379
-1.01346615,0.498305085,0.453608247,0.316546763,0.372881356,0.663185379
-0.982707215,0.50877193,0.452991453,0.410852713,0.430894309,0.663185379
-1.10040568,0.47706422,0.438356164,0.418300654,0.428093645,0.663185379
-1.129574033,0.470394737,0.37804878,0.219858156,0.278026906,0.663185379
-0.891581076,0.528301887,0.502994012,0.556291391,0.528301887,0.663185379
